pfeclinicaltestobservation.category-PFEDomain[key],category-PFEDomain.code,category-PFEDomain.display
functions_of_the_cardiovascular_haematological_immunological_and_respiratory_systems,functions_of_the_cardiovascular_haematological_immunological_and_respiratory_systems,"Functions of the cardiovascular, haematological, immunological and respiratory systems"
mental_functions,mental_functions,Mental functions
self-care,self-care,Self-care
mental_functions,mental_functions,Mental functions
self-care,self-care,Self-care
functions_of_the_digestive_metabolic_and_endocrine_systems ,functions_of_the_digestive_metabolic_and_endocrine_systems ,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
communication,communication,Communication
mental_functions,mental_functions,Mental functions
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
self-care,self-care,Self-care
mental_functions,mental_functions,Mental functions
mobility,mobility,Mobility
functions_of_the_cardiovascular_haematological_immunological_and_respiratory_systems,functions_of_the_cardiovascular_haematological_immunological_and_respiratory_systems,"Functions of the cardiovascular, haematological, immunological and respiratory systems"
mental_functions,mental_functions,Mental functions
self-care,self-care,Self-care
mental_functions,mental_functions,Mental functions
self-care,self-care,Self-care
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
communication,communication,Communication
mental_functions,mental_functions,Mental functions
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
functions_of_the_digestive_metabolic_and_endocrine_systems,functions_of_the_digestive_metabolic_and_endocrine_systems,"Functions of the digestive, metabolic and endocrine systems"
self-care,self-care,Self-care
mental_functions,mental_functions,Mental functions
